lat,lon,name
40.49789,-74.24984,BILLOP AVE & MOON AVE
40.49805,-74.24893,BILLOP AVE & SURF AVE
40.49843,-74.24702,BILLOP AVE & CONFERENCE HOUSE PARK GREENWAY
40.49857,-74.25003,MOON AVE & NICHOLS CT
40.49873,-74.24916,NICHOLS CT & SURF AVE
40.4988,-74.24516,BILLOP AVE & CONFERENCE HOUSE PARK GREENWAY
40.49896,-74.24437,BILLOP AVE & SWINNERTON ST
40.49914,-74.24349,BILLOP AVE & MAIN ST
40.49931,-74.25027,MC DONALD CT & MOON AVE
40.49932,-74.24262,BILLOP AVE & CHELSEA ST
40.49945,-74.24935,MC DONALD CT & SURF AVE
40.49949,-74.24173,BILLOP AVE & BRIGHTON ST
40.49967,-74.24082,BILLOP AVE & MANHATTAN ST
40.49968,-74.23791,LORETTO ST & SURF AVE
40.49985,-74.23992,BILLOP AVE & YETMAN AVE
40.50003,-74.23901,BILLOP AVE & ROCKAWAY ST
40.50016,-74.25152,FEDERAL CT & WARDS POINT AVE
40.50022,-74.2381,BILLOP AVE & LORETTO ST
40.50042,-74.23649,SPRAGUE AVE & SURF AVE
40.50048,-74.25071,CANTER AVE & FEDERAL CT
40.50057,-74.24969,CLERMONT AVE & CRAIG AVE
40.50059,-74.24961,CLERMONT AVE & MASSACHUSETTS ST S
40.50071,-74.23726,SEA BREEZE LN & SURFSIDE PLZ
40.50075,-74.24885,CLERMONT AVE & CONNECTICUT ST
40.50083,-74.23663,SEA BREEZE LN & SPRAGUE AVE
40.50088,-74.24993,CRAIG AVE & FEDERAL CT
40.50093,-74.24796,CLERMONT AVE & FINLAY ST
40.50111,-74.24708,ASPINWALL ST & CLERMONT AVE
40.50129,-74.2462,CARTERET ST & CLERMONT AVE
40.50134,-74.23752,SEA BREEZE LN & SURFSIDE PLZ
40.50147,-74.24523,CLERMONT AVE & SWINNERTON ST
40.50153,-74.23758,SURFSIDE PLZ & WINDING WOODS LOOP
40.50159,-74.23688,SPRAGUE AVE & WINDING WOODS LOOP
40.50164,-74.24435,CLERMONT AVE & MAIN ST
40.50169,-74.23511,BRUNO LN & JOLINE LN
40.50181,-74.24348,CHELSEA ST & CLERMONT AVE
40.50193,-74.23344,JOLINE AVE & TRICIA WAY
40.50199,-74.24259,BRIGHTON ST & CLERMONT AVE
40.502,-74.23345,JOLINE AVE & JOLINE LN
40.50217,-74.24168,CLERMONT AVE & MANHATTAN ST
40.5023,-74.25133,CRAIG AVE & SATTERLEE ST
40.50234,-74.23833,SURFSIDE PLZ & WINDING WOODS LOOP
40.50235,-74.24078,CLERMONT AVE & YETMAN AVE
40.5024,-74.25379,HYLAN BLVD & WARDS POINT AVE
40.50242,-74.23154,BEDELL AVE & COLITA CT
40.50253,-74.25273,CANTER AVE & HYLAN BLVD
40.50253,-74.23987,CLERMONT AVE & ROCKAWAY ST
40.5026,-74.23365,BRUNO LN & JOLINE AVE
40.50266,-74.23164,BEDELL AVE & OTTAVIO PROM
40.50271,-74.23897,CLERMONT AVE & LORETTO ST
40.50278,-74.23727,SPRAGUE AVE & SPRAGUE CT
40.50279,-74.23079,LEONELLO LN & OTTAVIO PROM
40.50281,-74.25185,HYLAN BLVD & SATTERLEE ST
40.50283,-74.23171,BEDELL AVE & JOJO CT
40.50284,-74.23729,SPRAGUE AVE & WINDING WOODS LOOP
40.50289,-74.25136,CRAIG AVE & HYLAN BLVD
40.50304,-74.23908,FOREST LN & LORETTO ST
40.50305,-74.25052,HYLAN BLVD & MASSACHUSETTS ST
40.50322,-74.2497,CONNECTICUT ST & HYLAN BLVD
40.50332,-74.23746,FOREST LN & SPRAGUE AVE
40.50334,-74.22858,OTTAVIO PROM & PAGE AVE
40.5034,-74.24883,FINLAY ST & HYLAN BLVD
40.50342,-74.23921,LORETTO ST & SANDY LN
40.50353,-74.232,BEDELL AVE & LEONELLO LN
40.50358,-74.24794,ASPINWALL ST & HYLAN BLVD
40.50359,-74.23202,BEDELL AVE & LULU CT
40.50364,-74.23813,SANDY LN & WILDWOOD LN
40.5037,-74.23758,SANDY LN & SPRAGUE AVE
40.50376,-74.24702,CARTERET ST & HYLAN BLVD
40.50381,-74.23935,LORETTO ST & WILDWOOD LN
40.50395,-74.24609,HYLAN BLVD & SWINNERTON ST
40.50412,-74.2452,HYLAN BLVD & MAIN ST
40.50414,-74.23773,SPRAGUE AVE & WILDWOOD LN
40.5042,-74.23169,BELVEDERE CT & DINTREE LN
40.50421,-74.21794,CUNNINGHAM RD & KENNY RD
40.50429,-74.2395,LORETTO ST & SEA CREST LN
40.5043,-74.24433,CHELSEA ST & HYLAN BLVD
40.50436,-74.23077,BELWOOD LOOP & DINTREE LN
40.5044,-74.23892,SEA CREST LN & SUNSET LN
40.50442,-74.23881,SEA CREST LN & SUNSET LN
40.50448,-74.24345,BRIGHTON ST & HYLAN BLVD
40.50455,-74.23787,SEA CREST LN & SPRAGUE AVE
40.5046,-74.2295,BELWOOD LOOP & DINTREE LN
40.50466,-74.24254,HYLAN BLVD & MANHATTAN ST
40.5047,-74.23233,BEDELL AVE & BELVEDERE CT
40.50484,-74.24164,HYLAN BLVD & YETMAN AVE
40.50493,-74.23097,BELWOOD LOOP & CLERMONT AVE
40.50502,-74.24073,HYLAN BLVD & ROCKAWAY ST
40.50502,-74.23802,SPRAGUE AVE & SUNSET LN
40.50507,-74.2405,HYLAN BLVD & SLEIGHT AVE
40.5052,-74.23981,HYLAN BLVD & LORETTO ST
40.50521,-74.22971,BELWOOD LOOP & CLERMONT AVE
40.5053,-74.22924,CLERMONT AVE & PAGE AVE
40.5054,-74.21796,KENNY RD & MONSIGNOR RD
40.50552,-74.25318,SATTERLEE ST & SHORE RD
40.50554,-74.23818,HYLAN BLVD & SPRAGUE AVE
40.50565,-74.25233,CRAIG AVE & SHORE RD
40.50577,-74.25146,BRYAN ST & SHORE RD
40.50589,-74.25058,CONNECTICUT ST & SHORE RD
40.50599,-74.22456,BUTLER BLVD & FAITH CT
40.50601,-74.2497,FINLAY ST & SHORE RD
40.50602,-74.2328,BEDELL AVE & NINO CT
40.50615,-74.2488,ASPINWALL ST & SHORE RD
40.50617,-74.25422,PERTH AMBOY PL & WARDS POINT AVE
40.5062,-74.2349,HYLAN BLVD & JOLINE AVE
40.50631,-74.25309,PERTH AMBOY PL & SATTERLEE ST
40.50631,-74.24789,CARTERET ST & PITTSVILLE AVE
40.50638,-74.23292,BEDELL AVE & LERER LN
40.50647,-74.24099,GEORGE ST & SLEIGHT AVE
40.50648,-74.23102,CALLAHAN LN & IRENE LN
40.50649,-74.24697,PITTSVILLE AVE & SWINNERTON ST
40.50653,-74.23206,CALLAHAN LN & LERER LN
40.50665,-74.23671,AMARON LN & CELINA LN
40.50667,-74.24608,MAIN ST & PITTSVILLE AVE
40.50668,-74.23981,DELIA CT & FAYANN LN
40.50669,-74.23651,AMARON LN & ROMAN CT
40.50669,-74.23506,AMARON LN & JOLINE AVE
40.50676,-74.23306,BEDELL AVE & HYLAN BLVD
40.50683,-74.22465,BUTLER BLVD & FLOWER AVE
40.50684,-74.24521,CHELSEA ST & PITTSVILLE AVE
40.50684,-74.22379,FLOWER AVE & RICHARD AVE
40.50688,-74.23512,GIEGERICH PL & JOLINE AVE
40.50689,-74.253,SATTERLEE ST & TOTTENVILLE PL
40.50689,-74.25173,BRYAN ST & SUMMIT RD
40.5069,-74.23863,GEORGE ST & SPRAGUE AVE
40.50691,-74.25217,CRAIG AVE & SUMMIT RD
40.50692,-74.23116,IRENE LN & LERER LN
40.50696,-74.25453,TOTTENVILLE PL & WARDS POINT AVE
40.50702,-74.24432,BRIGHTON ST & PITTSVILLE AVE
40.50713,-74.25088,CONNECTICUT ST & SUMMIT RD
40.50719,-74.2304,JAYNE LN & LERER LN
40.5072,-74.24341,MANHATTAN ST & PITTSVILLE AVE
40.50724,-74.23323,BEDELL AVE & GIEGERICH PL
40.5073,-74.23693,ADLERS LN & CELINA LN
40.50732,-74.22992,LERER LN & PAGE AVE
40.50735,-74.23878,NANCY LN & SPRAGUE AVE
40.50738,-74.25003,FINLAY ST & SUMMIT RD
40.50738,-74.24252,PITTSVILLE AVE & YETMAN AVE
40.50746,-74.23882,PETUNIA CT & SPRAGUE AVE
40.50756,-74.23535,ADLERS LN & JOLINE AVE
40.50759,-74.25208,AMBOY RD & CRAIG AVE
40.50763,-74.25288,AMBOY RD & SATTERLEE ST
40.50764,-74.24918,ASPINWALL ST & SUMMIT RD
40.50769,-74.25392,AMBOY RD & HOPPING AVE
40.50774,-74.25495,AMBOY RD & AVIVA CT
40.50776,-74.23007,HYLAN BLVD & PAGE AVE
40.50779,-74.25117,AMBOY RD & CONNECTICUT ST
40.50804,-74.25033,AMBOY RD & FINLAY ST
40.50804,-74.24153,PARADISE PL & SLEIGHT AVE
40.50821,-74.22765,CULOTTA LN & HYLAN BLVD
40.50829,-74.24948,AMBOY RD & ASPINWALL ST
40.50836,-74.24316,ACADEMY AVE & YETMAN AVE
40.5084,-74.24292,ACADEMY AVE & YETMAN AVE
40.50842,-74.24907,AMBOY RD & BENTLEY ST
